R-C-001,River Paris,TorpedoHandler
R-C-002,Deanna LaForge,TorpedoHandler
R-C-003,Apoc Watson,Gunner
R-C-004,Hope Stacy,TorpedoHandler
R-C-005,Zaphod Nine,Pilot
R-C-006,Quorra Djarin,Pilot
R-C-007,Rocket Kasady,TorpedoHandler
R-C-008,Pym Dooku,Gunner
R-C-009,Simon Mulder,TorpedoHandler
R-C-010,Pietro Organa,Gunner
R-C-011,Dana Zorg,Pilot
R-C-012,Simon Morbius,TorpedoHandler
R-C-013,Zira Watson,Pilot
R-C-014,Kaylee Spock,TorpedoHandler
R-C-015,Tuvok Stacy,TorpedoHandler
R-C-016,Cypher Destroyer,Gunner
R-C-017,Hicks Sato,Gunner
R-C-018,Peter Archer,Pilot
R-C-019,Nyota Rogers,Pilot
R-C-020,Loki Revan,TorpedoHandler
R-C-021,Hoshi Mogh,Pilot
R-C-022,Hope Malak,Gunner
R-C-023,Clint Frye,Pilot
R-C-024,Nebula Mulder,Gunner
R-C-025,River Beeblebrox,Gunner
R-C-026,Sam McCoy,Gunner
R-C-027,Travis Dent,TorpedoHandler
R-C-028,Malcolm Xavier,Pilot
R-C-029,Montgomery Solo,Pilot
R-C-030,Mantis Bowman,Gunner
